articleID,title,content,category,articleLink,
,Pregnant women urged to take up flu and Covid jabs,,,https://www.bbc.com/news/articles/c2l958qn9v8o,
,Child patients encouraged to play at hospital,,,https://www.bbc.com/news/articles/czj7r3vm400o,
,Cucumbers recalled in 26 states over possible salmonella contamination,,,https://www.nbcnews.com/news/us-news/cucumbers-recalled-26-states-possible-salmonella-contamination-rcna182241,
,"Infant dies, 10 sickened amid listeria outbreak tied to ready-to-eat meat",,,https://www.nbcnews.com/health/health-news/infant-dies-10-sickened-listeria-outbreak-tied-ready-eat-meat-rcna181459,
,Vaccines don't cause autism. What does?,,,https://www.nbcnews.com/health/health-news/autism-vaccines-kennedy-cause-spectrum-rcna180837,
,"Over 160,000 pounds of ground beef recalled due to E. coli risk",,,https://www.nbcnews.com/health/health-news/160000-pounds-ground-beef-recalled-due-e-coli-risk-rcna181210,
,"Vaccination rates for flu and Covid are low this season, CDC says",,,https://www.nbcnews.com/health/health-news/vaccination-rates-flu-covid-low-cdc-rcna181217,
,California child tests positive for bird flu with no known exposure to infected animals,,,https://www.nbcnews.com/health/health-news/california-child-bird-flu-no-known-exposure-animals-rcna180827,
,"Carrots sold at Trader Joe's, Wegmans and other chains recalled due to possible E. coli contamination",,,https://www.nbcnews.com/news/carrots-recalled-trader-joes-wegmans-e-coli-rcna180546,
,"With dengue cases at an extreme high, research points to climate change's role",,,https://www.nbcnews.com/health/health-news/dengue-fever-climate-change-rcna179629,
,Is SpaceX's Starship the loudest ever rocket?,,,https://www.bbc.com/future/article/20230306-just-how-loud-is-a-rocket-launch,
,'My vacuum cleaner exploded while it was charging',,,https://www.bbc.com/news/articles/cq8vnq20npjo,
,LinkedIn: We're too boring for kids for social media ban,,,https://www.bbc.com/news/articles/cx2dz2z72y8o,
,Thousands of PayPal customers report brief outage,,,https://www.bbc.com/news/articles/cly2exevgxxo,
,US to Introduce New Restrictions on China’s Access to Cutting-Edge Chips,,,https://www.wired.com/story/memory-restrictions-china-advanced-chips/,
,Cybertruck’s Many Recalls Make It Worse Than 91 Percent of All 2024 Vehicles,,,https://www.wired.com/story/cybertrucks-many-recalls-make-it-worse-than-91-percent-of-all-2024-vehicles/,
,England close on victory in first Test against New Zealand,,,https://www.bbc.com/sport/cricket/articles/cz0m0ln43mxo,
,"A unique, controversial character and player",,,https://www.bbc.com/sport/rugby-union/articles/c207xjrrp6po,
,Why the US women’s soccer team’s match against England means so much to head coach Emma Hayes,,,https://edition.cnn.com/2024/11/29/sport/emma-hayes-england-vs-usa-spt-intl/index.html,
,Meet the man spearheading Jake Paul’s divisive boxing career,,,https://edition.cnn.com/2024/11/19/sport/nakisa-bidarian-jake-paul-boxing-spt-intl/index.html,
,‘Like climbing Mount Everest:’ Inside the grueling world of the Chess World Championship,,,https://edition.cnn.com/2024/11/25/sport/chess-world-championship-pressure-spt-intl/index.html,
,Caitlin Clark swaps three-pointers for par threes at LPGA event,,,https://edition.cnn.com/2024/11/13/sport/caitlin-clark-par-threes-lpga-event-spt-intl/index.html,
,Liverpool ends 15-year curse with statement win over Real Madrid,,,https://edition.cnn.com/2024/11/28/sport/liverpool-real-madrid-champions-league-spt-intl/index.html,
,Rafael Nadal: Farewell to the ‘King of Clay’,,,https://edition.cnn.com/2024/11/19/sport/rafael-nadal-farewell-to-the-king-of-clay-spt-intl/index.html,
,Novak Djokovic announces former rival Andy Murray will join his coaching team,,,https://edition.cnn.com/2024/11/23/sport/novak-djokovic-andy-murray-coaching-team-spt-intl/index.html,
,"LIV Golf’s Sergio Garcia is set to rejoin DP World Tour, aiding Ryder Cup ambitions",,,https://edition.cnn.com/2024/11/19/sport/sergio-garcia-liv-dp-world-tour-ryder-cup-spt-intl/index.html,
,Justin Trudeau visits Trump at Mar-a-Lago,,,https://www.politico.com/news/2024/11/29/justin-trudeau-visits-trump-at-mar-a-lago-00192038,
,Zelenskyy’s diplomatic play for Trump ,,,https://www.politico.eu/article/ukraine-president-volodymyr-zelenskyy-diplomatic-play-donald-trump/,
,UK MPs back assisted dying in historic vote,,,https://www.politico.eu/article/uk-mps-back-assisted-dying-law-at-first-hurdle-in-historic-vote/,
,Florida Has a Weird Political Culture. It’s About to Take Over the White House.,,,https://www.politico.com/news/magazine/2024/11/28/trump-cabinet-florida-influence-00191930,
,Zuckerberg meets with Trump in Florida,,,https://www.politico.com/live-updates/2024/11/27/congress/zuckerberg-and-trump-00192014,
,Court backs Texas over razor wire installed on US-Mexico border,,,https://www.politico.com/news/2024/11/27/court-backs-texas-over-razor-wire-installed-on-us-mexico-border-00192018,
,Republicans’ big idea for remaking public education hits voter resistance,,,https://www.politico.com/news/2024/11/27/republican-school-voucher-program-expansion-voters-00191598,
,Trump’s effect on the Middle East,,,https://www.politico.eu/article/donald-trump-effect-middle-east-cease-fire-israel-hezbollah/,
